Authors,DOI,ISBN,ISSN,Journal,PMCID,PMID,Publication Category,Publication Year,Short Citation,Title
Mattman A; Huntsman D; Lockitch G; Langlois S; Buskard N; Ralston D; Butterfield Y; Rodrigues P; Jones S; Porto G; Marra M; De Sousa M; Vatcher G;,,,,Blood,,12130528,Journal Article,2002.0,Blood. 2002 Aug 1;100(3):1075-7.,Transferrin receptor 2 (TfR2) and HFE mutational analysis in non-C282Y iron overload: identification of a novel TfR2 mutation.
Brinkman FS; Blanchard JL; Cherkasov A; Av-Gay Y; Brunham RC; Fernandez RC; Finlay BB; Otto SP; Ouellette BF; Keeling PJ; Rose AM; Hancock RE; Jones SJ; Greberg H;,10.1101/gr.341802,,1088-9051,Genome Research,PMC186644,12176923,Journal Article,2002.0,Genome Res. 2002 Aug;12(8):1159-67.,"Evidence that plant-like genes in Chlamydia species reflect an ancestral relationship between Chlamydiaceae, cyanobacteria, and the chloroplast."
Gregory SG; Sekhon M; Schein J; Zhao S; Osoegawa K; Scott CE; Evans RS; Burridge PW; Cox TV; Fox CA; Hutton RD; Mullenger IR; Phillips KJ; Smith J; Stalker J; Threadgold GJ; Birney E; Wylie K; Chinwalla A; Wallis J; Hillier L; Carter J; Gaige T; Jaeger S; Kremitzki C; Layman D; Maas J; McGrane R; Mead K; Walker R; Jones S; Smith M; Asano J; Bosdet I; Chan S; Chittaranjan S; Chiu R; Fjell C; Fuhrmann D; Girn N; Gray C; Guin R; Hsiao L; Krzywinski M; Kutsche R; Lee SS; Mathewson C; McLeavy C; Messervier S; Ness S; Pandoh P; Prabhu AL; Saeedi P; Smailus D; Spence L; Stott J; Taylor S; Terpstra W; Tsai M; Vardy J; Wye N; Yang G; Shatsman S; Ayodeji B; Geer K; Tsegaye G; Shvartsbeyn A; Gebregeorgis E; Krol M; Russell D; Overton L; Malek JA; Holmes M; Heaney M; Shetty J; Feldblyum T; Nierman WC; Catanese JJ; Hubbard T; Waterston RH; Rogers J; de Jong PJ; Fraser CM; Marra M; McPherson JD; Bentley DR;,,,,Nature,,12181558,Journal Article,2002.0,Nature. 2002 Aug 15;418(6899):743-50. Epub 2002 Aug 4.,A physical map of the mouse genome.
Haddow JD; Poulis B; Haines LR; Gooding RH; Aksoy S; Pearson TW;,,,,Insect Biochemistry and Molecular Biology,,12213241,Journal Article,2002.0,Insect Biochem Mol Biol. 2002 Sep;32(9):1045-53.,Identification of major soluble salivary gland proteins in teneral Glossina morsitans morsitans.
Steen BR; Lian T; Zuyderduyn S; MacDonald WK; Marra M; Jones SJ; Kronstad JW;,10.1101/gr.80202,,1088-9051,Genome Research,PMC186651,12213776,Journal Article,2002.0,Genome Res. 2002 Sep;12(9):1386-400.,Temperature-regulated transcription in the pathogenic fungus Cryptococcus neoformans.
Schein JE; Tangen KL; Chiu R; Shin H; Lengeler KB; MacDonald WK; Bosdet I; Heitman J; Jones SJ; Marra MA; Kronstad JW;,10.1101/gr.81002,,1088-9051,Genome Research,PMC186652,12213782,Journal Article,2002.0,Genome Res. 2002 Sep;12(9):1445-53.,Physical maps for genome analysis of serotype A and D strains of the fungal pathogen Cryptococcus neoformans.
Vatcher G; Smailus D; Krzywinski M; Guin R; Stott J; Tsai M; Chan S; Pandoh P; Yang G; Asano J; Olson T; Prabhu AL; Coope R; Marziali A; Schein J; Jones S; Marra M;,,,,Biotechniques,,12238763,Journal Article,2002.0,"Biotechniques. 2002 Sep;33(3):532-4, 536, 538-9.",Resuspension of DNA sequencing reaction products in agarose increases sequence quality on an automated sequencer.
Guiliano DB; Hall N; Jones SJ; Clark LN; Corton CH; Barrell BG; Blaxter ML;,,,1474-7596,Genome Biology,PMC134624,12372145,Journal Article,2002.0,Genome Biol. 2002 Sep 26;3(10):RESEARCH0057. Epub 2002 Sep 26.,Conservation of long-range synteny and microsynteny between the genomes of two distantly related nematodes.
McKay SJ; Jones SJ;,,,,Bioinformatics,,12424127,Journal Article,2002.0,Bioinformatics. 2002 Nov;18(11):1538-9.,AcePrimer: automation of PCR primer design based on gene structure.
Rosin MP; Lam WL; Poh C; Le ND; Li RJ; Zeng T; Priddy R; Zhang L;,,,,Cancer Research,,12438233,Journal Article,2002.0,Cancer Res. 2002 Nov 15;62(22):6447-50.,3p14 and 9p21 loss is a simple tool for predicting second oral malignancy at previously treated oral cancer sites.
Strausberg RL; Feingold EA; Grouse LH; Derge JG; Klausner RD; Collins FS; Wagner L; Shenmen CM; Schuler GD; Altschul SF; Zeeberg B; Buetow KH; Schaefer CF; Bhat NK; Hopkins RF; Jordan H; Moore T; Max SI; Wang J; Hsieh F; Diatchenko L; Marusina K; Farmer AA; Rubin GM; Hong L; Stapleton M; Soares MB; Bonaldo MF; Casavant TL; Scheetz TE; Brownstein MJ; Usdin TB; Toshiyuki S; Carninci P; Prange C; Raha SS; Loquellano NA; Peters GJ; Abramson RD; Mullahy SJ; Bosak SA; McEwan PJ; McKernan KJ; Malek JA; Gunaratne PH; Richards S; Worley KC; Hale S; Garcia AM; Gay LJ; Hulyk SW; Villalon DK; Muzny DM; Sodergren EJ; Lu X; Gibbs RA; Fahey J; Helton E; Ketteman M; Madan A; Rodrigues S; Sanchez A; Whiting M; Madan A; Young AC; Shevchenko Y; Bouffard GG; Blakesley RW; Touchman JW; Green ED; Dickson MC; Rodriguez AC; Grimwood J; Schmutz J; Myers RM; Butterfield YS; Krzywinski MI; Skalska U; Smailus DE; Schnerch A; Schein JE; Jones SJ; Marra MA;,10.1073/pnas.242603899,,0027-8424,Proceedings of The National Academy of Sciences of The United States of America,PMC139241,12477932,Journal Article,2002.0,Proc Natl Acad Sci U S A. 2002 Dec 24;99(26):16899-903. Epub 2002 Dec 11.,"Generation and initial analysis of more than 15,000 full-length human and mouse cDNA sequences."
Haines LR; Haddow JD; Aksoy S; Gooding RH; Pearson TW;,,,,Insect Biochemistry and Molecular Biology,,12530210,Journal Article,2002.0,Insect Biochem Mol Biol. 2002 Nov;32(11):1429-38.,The major protein in the midgut of teneral Glossina morsitans morsitans is a molecular chaperone from the endosymbiotic bacterium Wigglesworthia glossinidia.
Pineault N; Buske C; Feuring-Buske M; Abramovich C; Rosten P; Hogge DE; Aplan PD; Humphries RK;,,,,Blood,,12543865,Journal Article,2003.0,Blood. 2003 Jun 1;101(11):4529-38. Epub 2003 Jan 23.,Induction of acute myeloid leukemia in mice by the human leukemia-specific fusion gene NUP98-HOXD13 in concert with Meis1.
Woram RA; Gharbi K; Sakamoto T; Hoyheim B; Holm LE; Naish K; McGowan C; Ferguson MM; Phillips RB; Stein J; Guyomard R; Cairney M; Taggart JB; Powell R; Davidson W; Danzmann RG;,10.1101/gr.578503,,1088-9051,Genome Research,PMC420375,12566405,Journal Article,2003.0,Genome Res. 2003 Feb;13(2):272-80.,Comparative genome analysis of the primary sex-determining locus in salmonid fishes.
Doligez A; Bouquet A; Danglot Y; Lahogue F; Riaz S; Meredith P; Edwards J; This P;,,,,a - other journal,,12582493,Journal Article,2002.0,Theor Appl Genet. 2002 Oct;105(5):780-795. Epub 2002 May 25.,Genetic mapping of grapevine ( Vitis vinifera L.) applied to the detection of QTLs for seedlessness and berry weight.
Hsiao W; Wan I; Jones SJ; Brinkman FS;,,,,Bioinformatics,,12584130,Journal Article,2003.0,Bioinformatics. 2003 Feb 12;19(3):418-20.,IslandPath: aiding detection of genomic islands in prokaryotes.
"Kniazeva M, Sieber M, McCauley S, Zhang K, Watts JL, Han M",,,0016-6731,Genetics,PMC1462428,12586704,Journal Article,2003.0,Genetics. 2003 Jan;163(1):1. ,"Suppression of the ELO-2 FA elongation activity results in alterations of the fatty acid composition and multiple physiological defects, including abnormal ultradian rhythms, in Caenorhabditis elegans."
Gorski SM; Chittaranjan S; Pleasance ED; Freeman JD; Anderson CL; Varhol RJ; Coughlin SM; Zuyderduyn SD; Jones SJ; Marra MA;,,,,Current Biology,,12593804,Journal Article,2003.0,Curr Biol. 2003 Feb 18;13(4):358-63.,A SAGE approach to discovery of genes involved in autophagic cell death.
"Lee N, D'Souza CA, Kronstad JW.",,,,Annual Review of Phytopathology,,12651963,Journal Article,2003.0,Annu Rev Phytopathol. 2003;41:399-427.,"Of smuts, blasts, mildews, and blights: cAMP signaling in phytopathogenic fungi."
Helbing CC; Werry K; Crump D; Domanski D; Veldhoen N; Bailey CM;,,,,Molecular Endocrinology,,12690095,Journal Article,2003.0,Mol Endocrinol. 2003 Jul;17(7):1395-409. Epub 2003 Apr 10.,Expression profiles of novel thyroid hormone-responsive genes and proteins in the tail of Xenopus laevis tadpoles undergoing precocious metamorphosis.
"Stafford JL, Belosevic M",,,,Developmental and Comparative Immunology,,12697311,Journal Article,,Dev Comp Immunol. 2003 Jun-Jul;27(6-7):6-7. ,Transferrin and the innate immune response of fish: identification of a novel mechanism of macrophage activation.
Thompson J; Pugh T; Guggenheimer K; Safarpour A; Christie A; Pel J; Chow S; Marziali A;,,,,Biotechniques,,12703306,Journal Article,2003.0,Biotechniques. 2003 Apr;34(4):814-8.,Facilitated loading of horizontal gels using a capillary comb loader.
Nelson CC; Hoffart D; Gleave ME; Rennie PS;,,,,Methods in Molecular Medicine,,12725128,Journal Article,2003.0,Methods Mol Med. 2003;81:299-320.,Application of gene microarrays in the study of prostate cancer.
Fuhrmann DR; Krzywinski MI; Chiu R; Saeedi P; Schein JE; Bosdet IE; Chinwalla A; Hillier LW; Waterston RH; McPherson JD; Jones SJ; Marra MA;,10.1101/gr.904303,,1088-9051,Genome Research,PMC430903,12727910,Journal Article,2003.0,Genome Res. 2003 May;13(5):940-53.,Software for automated analysis of DNA fingerprinting gels.
Rosenberger CM; Finlay BB;,,,,Nature Reviews Molecular Cell Biology,,12728272,Journal Article,2003.0,Nat Rev Mol Cell Biol. 2003 May;4(5):385-96.,Phagocyte sabotage: disruption of macrophage signalling by bacterial pathogens.
Marra MA; Jones SJ; Astell CR; Holt RA; Brooks-Wilson A; Butterfield YS; Khattra J; Asano JK; Barber SA; Chan SY; Cloutier A; Coughlin SM; Freeman D; Girn N; Griffith OL; Leach SR; Mayo M; McDonald H; Montgomery SB; Pandoh PK; Petrescu AS; Robertson AG; Schein JE; Siddiqui A; Smailus DE; Stott JM; Yang GS; Plummer F; Andonov A; Artsob H; Bastien N; Bernard K; Booth TF; Bowness D; Czub M; Drebot M; Fernando L; Flick R; Garbutt M; Gray M; Grolla A; Jones S; Feldmann H; Meyers A; Kabani A; Li Y; Normand S; Stroher U; Tipples GA; Tyler S; Vogrig R; Ward D; Watson B; Brunham RC; Krajden M; Petric M; Skowronski DM; Upton C; Roper RL;,,,,Science,,12730501,Journal Article,2003.0,Science. 2003 May 30;300(5624):1399-404. Epub 2003 May 1.,The Genome sequence of the SARS-associated coronavirus.
Pleasance ED; Marra MA; Jones SJ;,10.1101/gr.873003,,1088-9051,Genome Research,PMC403648,12743019,Journal Article,2003.0,Genome Res. 2003 Jun;13(6A):1203-15. Epub 2003 May 12.,Assessment of SAGE in transcript identification.
Eaves C; Jiang X; Eisterer W; Chalandon Y; Porada G; Zanjani E; Eaves A;,,,,Annals of The New York Academy of Sciences,,12799276,Journal Article,2003.0,Ann N Y Acad Sci. 2003 May;996:1-9.,New models to investigate mechanisms of disease genesis from primitive BCR-ABL(+) hematopoietic cells.
Fjell CD; Bosdet I; Schein JE; Jones SJ; Marra MA;,10.1101/gr.819303,,1088-9051,Genome Research,PMC403654,12799356,Journal Article,2003.0,Genome Res. 2003 Jun;13(6A):1244-9.,Internet Contig Explorer (iCE)--a tool for visualizing clone fingerprint maps.
"Ansley SJ, Badano JL, Blacque OE, Hill J, Hoskins BE, Leitch CC, Kim JC, Ross AJ, Eichers ER, Teslovich TM, Mah AK, Johnsen RC, Cavender JC, Lewis RA, Leroux MR, Beales PL, Katsanis N.",,,,Nature,,14520415,Journal Article,2003.0,Nature. 2003 Oct 9;425(6958):628-33.,Basal body dysfunction is a likely cause of pleiotropic Bardet-Biedl syndrome.
Kiger AA; Baum B; Jones S; Jones MR; Coulson A; Echeverri C; Perrimon N;,10.1186/1475-4924-2-27,,1478-5854,Journal of Biology,PMC333409,14527345,Journal Article,2003.0,J Biol. 2003;2(4):27. Epub 2003 Oct 1.,A functional genomic analysis of cell morphology using RNA interference.
Zuyderduyn SD; Jones SJ;,10.1186/1471-2105-4-51,,,BMC Bioinformatics,PMC272928,14583100,Journal Article,2003.0,BMC Bioinformatics. 2003 Oct 28;4:51.,A knowledge discovery object model API for Java.
Garnis C; Coe BP; Ishkanian A; Zhang L; Rosin MP; Lam WL;,,,,Genes Chromosomes & Cancer,,14603447,Journal Article,2004.0,Genes Chromosomes Cancer. 2004 Jan;39(1):93-8.,Novel regions of amplification on 8q distinct from the MYC locus and frequently altered in oral dysplasia and cancer.
Briant DJ; Hankins JS; Cook MA; Mackie GA;,,,,Molecular Microbiology,,14622423,Journal Article,2003.0,Mol Microbiol. 2003 Nov;50(4):1381-90.,The quaternary structure of RNase G from Escherichia coli.
Uchida N; Dykstra B; Lyons KJ; Leung FY; Eaves CJ;,,,,Experimental Hematology,,14662343,Journal Article,2003.0,Exp Hematol. 2003 Dec;31(12):1338-47.,Different in vivo repopulating activities of purified hematopoietic stem cells before and after being stimulated to divide in vitro with the same kinetics.
Steen BR; Zuyderduyn S; Toffaletti DL; Marra M; Jones SJ; Perfect JR; Kronstad J;,10.1128/EC.2.6.1336-1349.2003,,1535-9778,Eukaryotic Cell,PMC326655,14665467,Journal Article,2003.0,Eukaryot Cell. 2003 Dec;2(6):1336-49.,Cryptococcus neoformans gene expression during experimental cryptococcal meningitis.
Garnis C; Coe BP; Zhang L; Rosin MP; Lam WL;,,,,Oncogene,,14676824,Journal Article,2004.0,Oncogene. 2004 Apr 1;23(14):2582-6.,"Overexpression of LRP12, a gene contained within an 8q22 amplicon identified by high-resolution array CGH analysis of oral squamous cell carcinomas."
Garnis C; Baldwin C; Zhang L; Rosin MP; Lam WL;,,,,Cancer Research,,14695166,Journal Article,2003.0,Cancer Res. 2003 Dec 15;63(24):8582-5.,Use of complete coverage array comparative genomic hybridization to define copy number alterations on chromosome 3p in oral squamous cell carcinomas.
Watson SK; deLeeuw RJ; Ishkanian AS; Malloff CA; Lam WL;,10.1186/1471-2164-5-6,,,BMC Genomics,PMC324397,14723794,Journal Article,2004.0,BMC Genomics. 2004 Jan 14;5(1):6.,Methods for high throughput validation of amplified fragment pools of BAC DNA for constructing high resolution CGH arrays.
Jiang X; Zhao Y; Chan WY; Vercauteren S; Pang E; Kennedy S; Nicolini F; Eaves A; Eaves C;,,,,Blood,,14751929,Journal Article,2004.0,Blood. 2004 May 15;103(10):3897-904. Epub 2004 Jan 29.,"Deregulated expression in Ph+ human leukemias of AHI-1, a gene activated by insertional mutagenesis in mouse models of leukemia."
Flibotte S; Chiu R; Fjell C; Krzywinski M; Schein JE; Shin H; Marra MA;,,,,Bioinformatics,,14871860,Journal Article,2004.0,Bioinformatics. 2004 May 22;20(8):1264-71. Epub 2004 Feb 10.,Automated ordering of fingerprinted clones.
Rise ML; von Schalburg KR; Brown GD; Mawer MA; Devlin RH; Kuipers N; Busby M; Beetz-Sargent M; Alberto R; Gibbs AR; Hunt P; Shukin R; Zeznik JA; Nelson C; Jones SR; Smailus DE; Jones SJ; Schein JE; Marra MA; Butterfield YS; Stott JM; Ng SH; Davidson WS; Koop BF;,10.1101/gr.1687304,,1088-9051,Genome Research,PMC353236,14962987,Journal Article,2004.0,Genome Res. 2004 Mar;14(3):478-90. Epub 2004 Feb 12.,Development and application of a salmonid EST database and cDNA microarray: data mining and interspecific hybridization characteristics.
Pineault N; Abramovich C; Ohta H; Humphries RK;,10.1128/MCB.24.5.1907-1917.2004,,0270-7306,Molecular and Cellular Biology,PMC350554,14966272,Journal Article,2004.0,Mol Cell Biol. 2004 Mar;24(5):1907-17.,Differential and common leukemogenic potentials of multiple NUP98-Hox fusion proteins alone or with Meis1.
Moore SS; Hansen C; Williams JL; Fu A; Meng Y; Li C; Zhang Y; Urquhart BS; Marra M; Schein J; Benkel B; de Jong PJ; Osoegawa K; Kirkpatrick BW; Gill CA;,,,,Cytogenetic and Genome Research,,14970675,Journal Article,2003.0,Cytogenet Genome Res. 2003;102(1-4):32-8.,"A comparative map of bovine chromosome 19 based on a combination of mapping on a bacterial artificial chromosome scaffold map, a whole genome radiation hybrid panel and the human draft sequence."
Rexroad CE 3rd; Lee Y; Keele JW; Karamycheva S; Brown G; Koop B; Gahr SA; Palti Y; Quackenbush J;,,,,Cytogenetic and Genome Research,,14970727,Journal Article,2003.0,Cytogenet Genome Res. 2003;102(1-4):347-54.,Sequence analysis of a rainbow trout cDNA library and creation of a gene index.
Baross A; Schertzer M; Zuyderduyn SD; Jones SJ; Marra MA; Lansdorp PM;,,,,Genes Chromosomes & Cancer,,14978791,Journal Article,2004.0,Genes Chromosomes Cancer. 2004 Apr;39(4):298-310.,Effect of TERT and ATM on gene expression profiles in human fibroblasts.
Ishkanian AS; Malloff CA; Watson SK; DeLeeuw RJ; Chi B; Coe BP; Snijders A; Albertson DG; Pinkel D; Marra MA; Ling V; MacAulay C; Lam WL;,,,,Nature Genetics,,14981516,Journal Article,2004.0,Nat Genet. 2004 Mar;36(3):299-303. Epub 2004 Feb 15.,A tiling resolution DNA microarray with complete coverage of the human genome.
Danke J; Miyake T; Powers T; Schein J; Shin H; Bosdet I; Erdmann M; Caldwell R; Amemiya CT;,,,,Journal of Experimental Zoology Part A-Comparative Experimental Biology,,14981781,Journal Article,2004.0,J Exp Zool A Comp Exp Biol. 2004 Mar 1;301(3):228-34.,"Genome resource for the Indonesian coelacanth, Latimeria menadoensis."
Carrillo CD; Taboada E; Nash JH; Lanthier P; Kelly J; Lau PC; Verhulp R; Mykytczuk O; Sy J; Findlay WA; Amoako K; Gomis S; Willson P; Austin JW; Potter A; Babiuk L; Allan B; Szymanski CM;,,,,Journal of Biological Chemistry,,14985343,Journal Article,2004.0,J Biol Chem. 2004 May 7;279(19):20327-38. Epub 2004 Feb 25.,Genome-wide expression analyses of Campylobacter jejuni NCTC11168 reveals coordinate regulation of motility and virulence by flhA.
"Hardwidge PR, Rodriguez-Escudero I, Goode D, Donohoe S, Eng J, Goodlett DR, Aebersold R, Finlay BB.",,,,Journal of Biological Chemistry,,14988394,Journal Article,2004.0,J Biol Chem. 2004 May 7;279(19):20127-36.,Proteomic analysis of the intestinal epithelial cell response to enteropathogenic Escherichia coli.
Bowdish DM; Davidson DJ; Speert DP; Hancock RE;,,,,Journal of Immunology,,15004180,Journal Article,2004.0,J Immunol. 2004 Mar 15;172(6):3758-65.,The human cationic peptide LL-37 induces activation of the extracellular signal-regulated kinase and p38 kinase pathways in primary human monocytes.
Garnis C; Campbell J; Zhang L; Rosin MP; Lam WL;,,,,Oral Oncology,,15006624,Journal Article,2004.0,Oral Oncol. 2004 May;40(5):511-9.,OCGR array: an oral cancer genomic regional array for comparative genomic hybridization analysis.
Chalandon Y; Jiang X; Loutet S; Eaves AC; Eaves CJ;,,,,Leukemia,,15014528,Journal Article,2004.0,Leukemia. 2004 May;18(5):1006-12.,Growth autonomy and lineage switching in BCR-ABL-transduced human cord blood cells depend on different functional domains of BCR-ABL.
"Lang AS, Culley AI, Suttle CA",,,,Virology,,15016544,Journal Article,2004.0,Virology. 2004 Mar 15;320(2):2.  10.1016/j.virol.2003.10.015,Genome sequence and characterization of a virus (HaRNAV) related to picorna-like viruses that infects the marine toxic bloom-forming alga Heterosigma akashiwo.
Schein J; Kucaba T; Sekhon M; Smailus D; Waterston R; Marra M;,,,,Methods in Molecular Biology,,15020821,Journal Article,2004.0,Methods Mol Biol. 2004;255:143-56.,High-throughput BAC fingerprinting.
Henderson LJ; Okamoto I; Lestou VS; Ludkovski O; Robichaud M; Chhanabhai M; Gascoyne RD; Klasa RJ; Connors JM; Marra MA; Horsman DE; Lam WL;,,,,Genes Chromosomes & Cancer,,15034870,Journal Article,2004.0,Genes Chromosomes Cancer. 2004 May;40(1):60-5.,Delineation of a minimal region of deletion at 6q16.3 in follicular lymphoma and construction of a bacterial artificial chromosome contig spanning a 6-megabase region of 6q16-q21.
Garnis C; Buys TP; Lam WL;,10.1186/1476-4598-3-9,,,Molecular Cancer,PMC408463,15035667,Journal Article,2004.0,Mol Cancer. 2004 Mar 22;3:9.,Genetic alteration and gene expression modulation during cancer progression.
Chi B; DeLeeuw RJ; Coe BP; MacAulay C; Lam WL;,10.1186/1471-2105-5-13,,,BMC Bioinformatics,PMC373529,15040819,Journal Article,2004.0,BMC Bioinformatics. 2004 Feb 9;5:13.,SeeGH--a software tool for visualization of whole genome array comparative genomic hybridization data.
Meehan KL; Sadar MD;,,,,Proteomics,,15048993,Journal Article,2004.0,Proteomics. 2004 Apr;4(4):1116-34.,Quantitative profiling of LNCaP prostate cancer cells using isotope-coded affinity tags and mass spectrometry.
