Title,PMID
Impact of colony-stimulating factors to reduce febrile neutropenic events in breast cancer patients receiving docetaxel plus cyclophosphamide chemotherapy,20232087
Clinical Cardiac Tolerability of Trastuzumab,14722042
Phase II study of weekly docetaxel and trastuzumab for patients with HER-2-overexpressing metastatic breast cancer,11919237
docetaxel combined with trastuzumab is an active regimen in HER-2 3+ overexpressing and fluorescent in situ hybridization-positive metastatic breast cancer: A multi-institutional phase II trial,15020608
Clinical Cardiac Tolerability of Trastuzumab,14722042
The safety of dose-dense doxorubicin and cyclophosphamide followed by paclitaxel with trastuzumab in HER-2/neu overexpressed/amplified breast cancer,18323546
Weighing a dose-dense option for adjuvant chemotherapy and trastuzumab in early- stage breast cancer,18323544
Paclitaxel plus Bevacizumab versus Paclitaxel alone for metastatic breast cancer,18160686
Multicenter phase II trial of weekly paclitaxel in women with metastatic breast cancer,11709565
Premedication strategy for weekly paclitaxel,12197222
Phase II multicenter trial of a weekly paclitaxel and carboplatin regimen in patients with advanced breast cancer,12228205
Taxanes in elderly breast cancer patients,15145508
Randomized trial of dose-dense versus conventionally scheduled and sequential versus concurrent combination chemotherapy as postoperative adjuvant treatment of node-positive primary breast cancer: first report of Intergroup Trial C9741/Cancer and Leukemia Group B Trial 9741,12668651
Bisphosphonates in the adjuvant setting of breast cancer therapy- -effect on survival: a systematic review and meta-analysis,23990894
Reduction in bone relapse and improved survival with oral clodronate for adjuvant treatment of operable breast cancer [ISRCTN83688026],16542503
Docetaxel in patients with metastatic breast cancer: a phase II study of the National Cancer Institute of Canada – Clinical Trials Group,8636752
Factors predicting for efficacy and safety of docetaxel in a compassionate-use cohort of 825 heavily pretreated advanced breast cancer patients,10653871
High rate of febrile neutropenia in patients with operable breast cancer receiving docetaxel and cyclophosphamide,19652050
Impact of colony-stimulating factors to reduce febrile neutropenic events in breast cancer patients receiving docetaxel plus cyclophosphamide chemotherapy,20232087
A randomized trial of exemestane after two to three years of tamoxifen therapy in postmenopausal women with primary breast cancer,15014181
American Society of Clinical Oncology technology assessment on the use of aromatase inhibitors as adjuvant therapy for postmenopausal women with hormone receptor-positive breast cancer: status report 2004,15545664
A randomized trial of letrozole in postmenopausal women after five years of tamoxifen therapy for early-stage breast cancer,14551341
Clinical Cardiac Tolerability of Trastuzumab,14722042
Trastuzumab emtansine for HER2-positive advanced breast cancer,23020162
Bleeding risk with trastuzumab (Herceptin) treatment,10612314
Clinical Cardiac Tolerability of Trastuzumab,14722042
A randomized trial of exemestane after two to three years of tamoxifen therapy in postmenopausal women with primary breast cancer,15014181
American Society of Clinical Oncology technology assessment on the use of aromatase inhibitors as adjuvant therapy for postmenopausal women with hormone receptor-positive breast cancer: status report 2004,15545664
A randomized trial of letrozole in postmenopausal women after five years of tamoxifen therapy for early-stage breast cancer,14551341
Benefit of a high-dose epirubicin regimen in adjuvant chemotherapy for node- positive breast cancer patients with poor prognostic factors: 5-year follow-up results of French Adjuvant Study Group 05 randomized trial,11157009
High rate of febrile neutropenia in patients with operable breast cancer receiving docetaxel and cyclophosphamide,19652050
Impact of colony-stimulating factors to reduce febrile neutropenic events in breast cancer patients receiving docetaxel plus cyclophosphamide chemotherapy,20232087
Bleeding risk with trastuzumab (Herceptin) treatment,10612314
Clinical Cardiac Tolerability of Trastuzumab,14722042
High rate of febrile neutropenia in patients with operable breast cancer receiving docetaxel and cyclophosphamide,19652050
Impact of colony-stimulating factors to reduce febrile neutropenic events in breast cancer patients receiving docetaxel plus cyclophosphamide chemotherapy,20232087
Bisphosphonates in the adjuvant setting of breast cancer therapy--effect on survival: a systematic review and meta-analysis,23990894
Benefit of a high-dose epirubicin regimen in adjuvant chemotherapy for node- positive breast cancer patients with poor prognostic factors: 5-year follow-up results of French Adjuvant Study Group 05 randomized trial,11157009
Clinical Cardiac Tolerability of Trastuzumab,14722042
Bleeding risk with trastuzumab (Herceptin) treatment,10612314
Cardiac management during adjuvant trastuzumab therapy: recommendations of the Canadian Trastuzumab Working Group,18317582
Low-dose oral methotrexate and cyclophosphamide in metastatic breast cancer: antitumor activity and correlation with vascular endothelial growth factor levels,11863115
Metronomic low-dose oral cyclophosphamide and methotrexate plus or minus thalidomide in metastatic breast cancer: antitumor activity and biological effects,16322118
Prolonged clinical benefit with metronomic chemotherapy in patients with metastatic breast cancer,16940806
Salvage therapy with oral metronomic cyclophosphamide and methotrexate for castration-refractory metastatic adenocarcinoma of the prostate resistant to docetaxel,22054386
Oral metronomic cyclophosphamide with and without methotrexate as palliative treatment for patients with metastatic breast carcinoma,22287742
Continuous low-dose cyclophosphamide and methotrexate combined with celecoxib for patients with advanced cancer,21587257
American College of Rheumatology 2008 recommendations for the use of nonbiologic and biologic disease-modifying antirheumatic drugs in rheumatoid arthritis,18512708
Clinical Cardiac Tolerability of Trastuzumab,14722042
High rate of febrile neutropenia in patients with operable breast cancer receiving docetaxel and cyclophosphamide,19652050
Impact of colony-stimulating factors to reduce febrile neutropenic events in breast cancer patients receiving docetaxel plus cyclophosphamide chemotherapy,20232087
Pertuzumab plus trastuzumab plus docetaxel for metastatic breast cancer,22149875
Delayed adjuvant tamoxifen: ten-year results of a collaborative randomized controlled trial in early breast cancer (TAM-02 trial),10907942
A randomized trial of exemestane after two to three years of tamoxifen therapy in postmenopausal women with primary breast cancer,15014181
A randomized trial of letrozole in postmenopausal women after five years of tamoxifen therapy for early-stage breast cancer,14551341
High rate of febrile neutropenia in patients with operable breast cancer receiving docetaxel and cyclophosphamide,19652050
Impact of colony-stimulating factors to reduce febrile neutropenic events in breast cancer patients receiving docetaxel plus cyclophosphamide chemotherapy,20232087
Adjuvant ovarian suppression in premenopausal breast cancer,25901438
Adjuvant exemestane with ovarian suppression in premenopausal breast cancer,24881463
Effect of anastrozole and tamoxifen as adjuvant treatment for early-stage breast cancer: 10-year analysis of the ATAC trial,21087898
Endocrine Therapy plus zoledronic acid in premenopausal breast cancer,19484818
Clinical Cardiac Tolerability of Trastuzumab,14722042
High rate of febrile neutropenia in patients with operable breast cancer receiving docetaxel and cyclophosphamide,19652050
Impact of colony-stimulating factors to reduce febrile neutropenic events in breast cancer patients receiving docetaxel plus cyclophosphamide chemotherapy,20232087
Superior efficacy of letrozole versus tamoxifen as first-line therapy for postmenopausal women with advanced breast cancer: results of a phase III study of the International Letrozole Breast Cancer Group,11352951
A randomized trial of exemestane after two to three years of tamoxifen therapy in postmenopausal women with primary breast cancer,15014181
American Society of Clinical Oncology technology assessment on the use of aromatase inhibitors as adjuvant therapy for postmenopausal women with hormone receptor-positive breast cancer: status report 2004,15545664
A randomized trial of letrozole in postmenopausal women after five years of tamoxifen therapy for early-stage breast cancer,14551341
VP-16 and Cisplatin as first-line therapy for small-cell lung cancer,2997406
Treatment of poorly differentiated neuroendocrine tumours with Etoposide and Cisplatin,10604732
Randomized multicenter Phase II trial of two different schedules of irinotecan combined with capecitabine as first-line treatment in metastatic colorectal carcinoma,14716761
Severe CPT-11 toxicity in patients with Gilbert's syndrome: two case reports,9402181
Addition of Bevacizumab to bolus Fluorouracil and Leucovorin in first-line metastatic colorectal cancer: results of a randomized phase II trial,15738537
Combined analysis of efficacy: the addition of Bevacizumab to Fluorouracil/Leucovorin improves survival for patients with metastatic colorectal cancer,15867200
Efficacy and safety of trastuzumab in combination with oxaliplatin and fluorouracil-based chemotherapy for patients with HER2-positive metastatic gastric and gastro-oesophageal junction adenocarcinoma patients: a retrospective study,25744576
Capecitabine and oxaliplatin for advanced esophagogastric cancer,20200397
Biweekly cetuximab and irinotecan in advanced colorectal cancer patients progressing after at least one previous line of chemotherapy: results of a phase II single institution trial,18665167
Cisplatin plus gemcitabine versus gemcitabine for biliary tract cancer,20678012
Capecitabine and oxaliplatin for advanced esophagogastric cancer,20200397
Diagnosis and management of gastrointestinal neuroendocrine tumors: An evidence-based Canadian consensus,27236421
A pilot trial of FLOT neoadjuvant chemotherapy for resectable esophagogastric junction adenocarcinoma,27225939
Randomised trial of irinotecan plus supportive care versus supportive care alone after fluorouracil failure for patients with metastatic colorectal cancer,9807987
Toxicities of targeted therapy and their management in kidney cancer,21277078
Sunitinib in metastatic renal cell carcinoma: recommendations for management of noncardiovascular toxicities,21490127
Irinotecan combined with Fluorouracil compared with Fluorouracil alone as first-line treatment for metastatic colorectal cancer: a multicentre randomised trial,10744089
Severe CPT-11 toxicity in patients with Gilbert's syndrome: two case reports,9402181
FOLFIRI followed by FOLFOX6 or the reverse sequence in advanced colorectal cancer: a randomized GERCOR study,14657227
Addition of bevacizumab to bolus fluorouracil and leucovorin in first-line metastatic colorectal cancer: results of a randomized phase II trial,15738537
Irinotecan combined with fluorouracil compared with fluorouracil alone as first-line treatment for metastatic colorectal cancer: a multicentre randomised trial,10744089
Severe CPT-11 toxicity in patients with Gilbert's syndrome: two case reports,9402181
FOLFIRI followed by FOLFOX6 or the reverse sequence in advanced colorectal cancer: a randomized GERCOR study,14657227
Adjuvant chemotherapy with gemcitabine vs observation in patients undergoing curative-intent resection of pancreatic cancer: a randomized controlled trial,17227978
FOLFIRI followed by FOLFOX6 or the reverse sequence in advanced colorectal cancer: A randomized GERCOR study,14657227
Addition of Bevacizumab to bolus Fluorouracil and Leucovorin in first-line metastatic colorectal cancer: results of a randomized phase II trial,15738537
Combined analysis of efficacy: the addition of Bevacizumab to Fluorouracil/Leucovorin improves survival for patients with metastatic colorectal cancer,15867200
Capecitabine and oxaliplatin for advanced esophagogastric cancer,20200397
Addition of Bevacizumab to bolus Fluorouracil and Leucovorin in first-line metastatic colorectal cancer: results of a randomized phase II trial,15738537
Combined analysis of efficacy: the addition of Bevacizumab to Fluorouracil/Leucovorin improves survival for patients with metastatic colorectal cancer,15867200
Conformal therapy improves the therapeutic index of patients with anal canal cancer treated with combined chemotherapy and external beam radiotherapy,17276620
ACT II: The second UK phase III anal cancer trial,16097568
Capecitabine and oxaliplatin for advanced esophagogastric cancer,20200397
Prospective randomized study of doxorubicin-eluting-bead embolization in the treatment of hepatocellular carcinoma: results of the PRECISION V study,19908093
Comparative study between doxorubicin-eluting beads and conventional transarterial chemoembolization for treatment of hepatocellular carcinoma,22824821
Oxaliplatin combined with weekly bolus fluorouracil and leucovorin as surgical adjuvant chemotherapy for stage II and III colon cancer: results from NSABP C-07,17470851
Phase II Study of sorafenib in patients with advanced hepatocellular carcinoma,16908937
Everolimus for advanced pancreatic neuroendocrine tumors,21306238
FOLFIRI followed by FOLFOX6 or the reverse sequence in advanced colorectal cancer: A randomized GERCOR study,14657227
Cytoreductive surgery and hyperthermic intraperitoneal chemotherapy for malignant peritoneal mesothelioma: multi-institutional experience,19917862
Pemetrexed plus gemcitabine as first-line chemotherapy for patients with peritoneal mesothelioma: final report of a phase II trial,18640937
Randomized multicenter Phase II trial of two different schedules of irinotecan combined with capecitabine as first-line treatment in metastatic colorectal carcinoma,14716761
Severe CPT-11 toxicity in patients with Gilbert's syndrome: two case reports,9402181
Gemcitabine plus erlotinib followed by capecitabine versus capecitabine plus erlotinib followed by gemcitabine in advanced pancreatic cancer: final results of a randomised phase 3 trial of the 'Arbeitsgemeinschaft Internistische Onkologie' (AIO-PK0104),22773551
Comparison of oral capecitabine versus intravenous fluorouracil plus leucovorin as first-line treatment in 605 patients with metastatic colorectal cancer: results of a randomized phase III study,11304782
Oral capecitabine compared with intravenous fluorouracil plus leucovorin in patients with metastatic colorectal cancer: results of a large phase III study,11689577
Radioembolization for hepatocellular carcinoma: a review of the evidence and treatment recommendations,20622645
Use of yttrium-90 microspheres in patients with advanced hepatocellular carcinoma and portal vein thrombosis,20691606
Radioembolization with use of yttrium-90 resin microspheres in patients with hepatocellular carcinoma and portal vein thrombosis,20598574
A comparative analysis of transarterial downstaging for hepatocellular carcinoma: chemoembolization versus radioembolization,19552767
Minimally invasive techniques in management of hepatic neuroendocrine metastatic disease,19346815
Radioembolization for unresectable neuroendocrine hepatic metastases using resin 90Y-microspheres: early results in 148 patients,18525307
90Y Radioembolization for metastatic neuroendocrine liver tumors: preliminary results from a multi-institutional experience,18520231
Improvements in survival and clinical benefit with gemcitabine as first-line therapy for patients with advanced pancreas cancer: a randomized trial,9196156
The role of gemcitabine in the treatment of cholangiocarcinoma and gallbladder cancer: a systematic review,16341310
Severe CPT-11 toxicity in patients with Gilbert's syndrome: two case reports,9402181
Increased survival in pancreatic cancer with nab-paclitaxel plus gemcitabine,24131140
Oxaliplatin combined with weekly bolus fluorouracil and leucovorin as surgical adjuvant chemotherapy for stage II and III colon cancer: results from NSABP C-07,17470851
Early- and long-term outcome data of patients with pseudomyxoma peritonei from appendiceal origin treated by a strategy of cytoreductive surgery and hyperthermic intraperitoneal chemotherapy,22614976
8-year follow-up of randomized trial: cytoreduction and hyperthermic intraperitoneal chemotherapy versus systemic chemotherapy in patients with peritoneal carcinomatosis of colorectal cancer,18521686
Peritoneal colorectal carcinomatosis treated with surgery and perioperative intraperitoneal chemotherapy: retrospective analysis of 523 patients from a multicentric French study,19917863
Complete cytoreductive surgery plus intraperitoneal chemohyperthermia with oxaliplatin for peritoneal carcinomatosis of colorectal origin,19103728
Pazopanib in locally advanced or metastatic renal cell carcinoma: results of a randomized phase III trial,20100962
Methods to improve efficacy of intravesical mitomycin: results of a randomized phase III trial,11309436
Chemotherapy for small cell carcinoma of prostatic origin,1311396
Extrapulmonary small-cell carcinoma: a single-institution experience,15231859
Cytotoxic treatment of aggressive prostate tumors with or without neuroendocrine elements,14651212
Review of the comparative pharmacology and clinical activity of cisplatin and carboplatin,10458260
Increased survival with enzalutamide in prostate cancer after chemotherapy,22894553
Safety profile of nivolumab administered as 30-min infusion: analysis of data from CheckMate 153,29442139
Assessment of nivolumab benefit-risk profile of a 240-mg flat dose relative to a 3-mg/kg dosing regimen in patients with advanced tumors,28520840
Sorafenib in advanced clear-cell renal-cell carcinoma,17215530
Alpha emitter radium 223 and survival in metastatic prostate cancer,23863050
Toxicities of targeted therapy and their management in kidney cancer,21277078
Sunitinib in metastatic renal cell carcinoma: recommendations for management of noncardiovascular toxicities,21490127
Axitinib versus sorafenib as second-line treatment for advanced renal cell carcinoma: overall survival analysis and updated results from a randomised phase 3 trial,23598172
Safety profile of nivolumab administered as 30-min infusion: analysis of data from CheckMate 153,29442139
Chemotherapy with mitoxantrone plus prednisone or prednisone alone for symptomatic hormone-resistant prostate cancer: a Canadian randomized trial with palliative end points,8656243
BCG immunotherapy for transitional-cell carcinoma in situ of the bladder,8573479
BCG immunotherapy of bladder cancer: 20 years on,10335805
Megadose vitamins in bladder cancer: a double-blind clinical trial,8254816
Adjuvant chemotherapy in invasive bladder cancer: a systematic review and meta-analysis of individual patient data Advanced Bladder Cancer (ABC) Meta-analysis Collaboration,15939530
Cisplatin and 5-fluorouracil in advanced cancer of the penis,1538445
A phase 2 study with a daily regimen of the oral mTOR inhibitor RAD001 (everolimus) in patients with metastatic clear cell renal cell cancer,19306412
Prednisone plus cabazitaxel or mitoxantrone for metastatic castration-resistant prostate cancer progressing after docetaxel treatment: a randomised open-label trial,20888992
Abiraterone and increased survival in metastatic prostate cancer,21864182
Abiraterone in metastatic prostate cancer without previous chemotherapy,23228172
Neoadjuvant chemotherapy in invasive bladder cancer: a systematic review and meta-analysis,12801735
Neoadjuvant chemotherapy in invasive bladder cancer: update of a systematic review and meta-analysis of individual patient data advanced bladder cancer (ABC) meta-analysis collaboration,15939524
Combination chemotherapy in advanced adrenocortical carcinoma,22551107
Bevacizumab combined with chemotherapy for platinum-resistant recurrent ovarian cancer: the AURELIA open-label randomized phase III trial,24637997
Role of docetaxel in the treatment of newly diagnosed advanced ovarian cancer,12743129
Clinical features of hypersensitivity reactions to carboplatin,10561172
Role of docetaxel in the treatment of newly diagnosed advanced ovarian cancer,12743129
Identifying patients unlikely to benefit from further chemotherapy: A descriptive study of outcome at each relapse in ovarian cancer,15894355
Role of docetaxel in the treatment of newly diagnosed advanced ovarian cancer,12743129
Improved survival with bevacizumab in advanced cervical cancer,24552320
EMA/CO for high-risk gestational trophoblastic neoplasia: good outcomes with induction low-dose etoposide-cisplatin and genetic analysis,23233709
Bevacizumab combined with chemotherapy for platinum-resistant recurrent ovarian cancer: the AURELIA open-label randomized phase III trial,24637997
Clinical response in patients with ovarian cancer treated with metronomic chemotherapy,28275392
Bevacizumab plus low- dose metronomic oral cyclophosphamide in heavily pretreated patients with recurrent ovarian cancer,21079407
Bevacizumab combined with chemotherapy for platinum-resistant recurrent ovarian cancer: the AURELIA open-label randomized phase III trial,24637997
CA125 response in associated with estrogen receptor expression in a phase II trial of letrozole in ovarian cancer: identification of an endocrine-sensitive subgroup,12114425
Phase II trial of tamoxifen and goserelin in recurrent epithelial ovarian cancer,16222310
Tamoxifen in platinum-refractory ovarian cancer: a Gynecologic Oncology Group Ancillary Report,8690289
Tamoxifen for relapse of ovarian cancer,20238312
Phase III trial of carboplatin and paclitaxel compared with cisplatin and paclitaxel in patients with optimally resected stage III ovarian cancer: a Gynecologic Oncology Group Study,12860964
Efficacy and safety of liposomal anthracyclines in phase I/II clinical trials,15717738
Efficacy and safety of liposomal anthracyclines in phase I/II clinical trials,15717738
Concomitant cisplatin significantly improves locoregional control in advanced head and neck cancers treated with hyperfractionated radiotherapy,15534360
Meta-analysis of chemotherapy in head and neck cancer (MACH-NC): a comprehensive analysis by tumour site,21684027
Meta-analysis of chemotherapy in head and neck cancer (MACH-NC):a comprehensive analysis by tumour site,21684027
Postoperative concurrent radiotherapy and chemotherapy for high-risk squamous- cell carcinoma of the head and neck,15128893
Phase II randomized trial comparing vinorelbine versus vinorelbine plus cisplatin in patients with recurrent salivary gland malignancies,11169936
Gemcitabine in metastatic nasopharyngeal carcinoma of the undifferentiated type,11865813
Randomized phase III evaluation of cisplatin plus fluorouracil versus cisplatin plus paclitaxel in advanced head and neck cancer (E1395): An intergroup trial of the Eastern Cooperative Oncology Group,15908667
Effectiveness of paclitaxel and carboplatin combination in heavily pretreated patients with head and neck cancers,9470832
Phase II evaluation of paclitaxel in combination with carboplatin in advanced head and neck carcinoma,11745288
A phase II study of carboplatin in nasopharyngeal carcinoma,9143400
Phase II study of the combination of carboplatin and 5-fluorouracil in metastatic nasopharyngeal carcinoma,8765441
Phase III randomized study comparing cisplatin and fluorouracil as single agents and in combination for advanced squamous cell carcinoma of the head and neck,1732427
Lenvatinib versus placebo in radioiodine-refractory thyroid cancer,25671254
Capecitabine monotherapy for recurrent and metastatic nasopharyngeal cancer,18407933
