,Publication Category,Publication Year,PMID,DOI,Authors,Title,Journal,Short Citation
10,Journal Article,2002,12034835,,Shevchenko Y; Bouffard GG; Butterfield YS; Blakesley RW; Hartley JL; Young AC; Marra MA; Jones SJ; Touchman JW; Green ED;,Systematic sequencing of cDNA clones using the transposon Tn5.,Nucleic Acids Research,Nucleic Acids Res. 2002 Jun 1;30(11):2469-77.
11,Journal Article,2002,12060690,,Edgley M; D'Souza A; Moulder G; McKay S; Shen B; Gilchrist E; Moerman D; Barstead R;,Improved detection of small deletions in complex pools of DNA.,Nucleic Acids Research,Nucleic Acids Res. 2002 Jun 15;30(12):e52.
12,Journal Article,2002,12101400,,Cheung I; Schertzer M; Rose A; Lansdorp PM;,Disruption of dog-1 in Caenorhabditis elegans triggers deletions upstream of guanine-rich DNA.,Nature Genetics,Nat Genet. 2002 Aug;31(4):405-9. Epub 2002 Jul 8.
13,Journal Article,2002,12130528,,Mattman A; Huntsman D; Lockitch G; Langlois S; Buskard N; Ralston D; Butterfield Y; Rodrigues P; Jones S; Porto G; Marra M; De Sousa M; Vatcher G;,Transferrin receptor 2 (TfR2) and HFE mutational analysis in non-C282Y iron overload: identification of a novel TfR2 mutation.,Blood,Blood. 2002 Aug 1;100(3):1075-7.
14,Journal Article,2002,12176923,,Brinkman FS; Blanchard JL; Cherkasov A; Av-Gay Y; Brunham RC; Fernandez RC; Finlay BB; Otto SP; Ouellette BF; Keeling PJ; Rose AM; Hancock RE; Jones SJ; Greberg H;,"Evidence that plant-like genes in Chlamydia species reflect an ancestral relationship between Chlamydiaceae, cyanobacteria, and the chloroplast.",Genome Research,Genome Res. 2002 Aug;12(8):1159-67.
15,Journal Article,2002,12181558,,Gregory SG; Sekhon M; Schein J; Zhao S; Osoegawa K; Scott CE; Evans RS; Burridge PW; Cox TV; Fox CA; Hutton RD; Mullenger IR; Phillips KJ; Smith J; Stalker J; Threadgold GJ; Birney E; Wylie K; Chinwalla A; Wallis J; Hillier L; Carter J; Gaige T; Jaeger S; Kremitzki C; Layman D; Maas J; McGrane R; Mead K; Walker R; Jones S; Smith M; Asano J; Bosdet I; Chan S; Chittaranjan S; Chiu R; Fjell C; Fuhrmann D; Girn N; Gray C; Guin R; Hsiao L; Krzywinski M; Kutsche R; Lee SS; Mathewson C; McLeavy C; Messervier S; Ness S; Pandoh P; Prabhu AL; Saeedi P; Smailus D; Spence L; Stott J; Taylor S; Terpstra W; Tsai M; Vardy J; Wye N; Yang G; Shatsman S; Ayodeji B; Geer K; Tsegaye G; Shvartsbeyn A; Gebregeorgis E; Krol M; Russell D; Overton L; Malek JA; Holmes M; Heaney M; Shetty J; Feldblyum T; Nierman WC; Catanese JJ; Hubbard T; Waterston RH; Rogers J; de Jong PJ; Fraser CM; Marra M; McPherson JD; Bentley DR;,A physical map of the mouse genome.,Nature,Nature. 2002 Aug 15;418(6899):743-50. Epub 2002 Aug 4.
16,Journal Article,2002,12213241,,Haddow JD; Poulis B; Haines LR; Gooding RH; Aksoy S; Pearson TW;,Identification of major soluble salivary gland proteins in teneral Glossina morsitans morsitans.,Insect Biochemistry and Molecular Biology,Insect Biochem Mol Biol. 2002 Sep;32(9):1045-53.
17,Journal Article,2002,12213776,,Steen BR; Lian T; Zuyderduyn S; MacDonald WK; Marra M; Jones SJ; Kronstad JW;,Temperature-regulated transcription in the pathogenic fungus Cryptococcus neoformans.,Genome Research,Genome Res. 2002 Sep;12(9):1386-400.
18,Journal Article,2002,12213782,,Schein JE; Tangen KL; Chiu R; Shin H; Lengeler KB; MacDonald WK; Bosdet I; Heitman J; Jones SJ; Marra MA; Kronstad JW;,Physical maps for genome analysis of serotype A and D strains of the fungal pathogen Cryptococcus neoformans.,Genome Research,Genome Res. 2002 Sep;12(9):1445-53.
19,Journal Article,2002,12238763,,Vatcher G; Smailus D; Krzywinski M; Guin R; Stott J; Tsai M; Chan S; Pandoh P; Yang G; Asano J; Olson T; Prabhu AL; Coope R; Marziali A; Schein J; Jones S; Marra M;,Resuspension of DNA sequencing reaction products in agarose increases sequence quality on an automated sequencer.,Biotechniques,"Biotechniques. 2002 Sep;33(3):532-4, 536, 538-9."
20,Journal Article,2002,12372145,,Guiliano DB; Hall N; Jones SJ; Clark LN; Corton CH; Barrell BG; Blaxter ML;,Conservation of long-range synteny and microsynteny between the genomes of two distantly related nematodes.,Genome Biology,Genome Biol. 2002 Sep 26;3(10):RESEARCH0057. Epub 2002 Sep 26.
21,Journal Article,2002,12424127,,McKay SJ; Jones SJ;,AcePrimer: automation of PCR primer design based on gene structure.,Bioinformatics,Bioinformatics. 2002 Nov;18(11):1538-9.
22,Journal Article,2002,12438233,,Rosin MP; Lam WL; Poh C; Le ND; Li RJ; Zeng T; Priddy R; Zhang L;,3p14 and 9p21 loss is a simple tool for predicting second oral malignancy at previously treated oral cancer sites.,Cancer Research,Cancer Res. 2002 Nov 15;62(22):6447-50.
23,Journal Article,2002,12477932,,Strausberg RL; Feingold EA; Grouse LH; Derge JG; Klausner RD; Collins FS; Wagner L; Shenmen CM; Schuler GD; Altschul SF; Zeeberg B; Buetow KH; Schaefer CF; Bhat NK; Hopkins RF; Jordan H; Moore T; Max SI; Wang J; Hsieh F; Diatchenko L; Marusina K; Farmer AA; Rubin GM; Hong L; Stapleton M; Soares MB; Bonaldo MF; Casavant TL; Scheetz TE; Brownstein MJ; Usdin TB; Toshiyuki S; Carninci P; Prange C; Raha SS; Loquellano NA; Peters GJ; Abramson RD; Mullahy SJ; Bosak SA; McEwan PJ; McKernan KJ; Malek JA; Gunaratne PH; Richards S; Worley KC; Hale S; Garcia AM; Gay LJ; Hulyk SW; Villalon DK; Muzny DM; Sodergren EJ; Lu X; Gibbs RA; Fahey J; Helton E; Ketteman M; Madan A; Rodrigues S; Sanchez A; Whiting M; Madan A; Young AC; Shevchenko Y; Bouffard GG; Blakesley RW; Touchman JW; Green ED; Dickson MC; Rodriguez AC; Grimwood J; Schmutz J; Myers RM; Butterfield YS; Krzywinski MI; Skalska U; Smailus DE; Schnerch A; Schein JE; Jones SJ; Marra MA;,"Generation and initial analysis of more than 15,000 full-length human and mouse cDNA sequences.",Proceedings of The National Academy of Sciences of The United States of America,Proc Natl Acad Sci U S A. 2002 Dec 24;99(26):16899-903. Epub 2002 Dec 11.
24,Journal Article,2002,12530210,,Haines LR; Haddow JD; Aksoy S; Gooding RH; Pearson TW;,The major protein in the midgut of teneral Glossina morsitans morsitans is a molecular chaperone from the endosymbiotic bacterium Wigglesworthia glossinidia.,Insect Biochemistry and Molecular Biology,Insect Biochem Mol Biol. 2002 Nov;32(11):1429-38.
25,Journal Article,2003,12543865,,Pineault N; Buske C; Feuring-Buske M; Abramovich C; Rosten P; Hogge DE; Aplan PD; Humphries RK;,Induction of acute myeloid leukemia in mice by the human leukemia-specific fusion gene NUP98-HOXD13 in concert with Meis1.,Blood,Blood. 2003 Jun 1;101(11):4529-38. Epub 2003 Jan 23.
26,Journal Article,2003,12566405,,Woram RA; Gharbi K; Sakamoto T; Hoyheim B; Holm LE; Naish K; McGowan C; Ferguson MM; Phillips RB; Stein J; Guyomard R; Cairney M; Taggart JB; Powell R; Davidson W; Danzmann RG;,Comparative genome analysis of the primary sex-determining locus in salmonid fishes.,Genome Research,Genome Res. 2003 Feb;13(2):272-80.
27,Journal Article,2002,12582493,,Doligez A; Bouquet A; Danglot Y; Lahogue F; Riaz S; Meredith P; Edwards J; This P;,Genetic mapping of grapevine ( Vitis vinifera L.) applied to the detection of QTLs for seedlessness and berry weight.,a - other journal,Theor Appl Genet. 2002 Oct;105(5):780-795. Epub 2002 May 25.
28,Journal Article,2003,12584130,,Hsiao W; Wan I; Jones SJ; Brinkman FS;,IslandPath: aiding detection of genomic islands in prokaryotes.,Bioinformatics,Bioinformatics. 2003 Feb 12;19(3):418-20.
29,Journal Article,2003,12586704,,"Kniazeva M, Sieber M, McCauley S, Zhang K, Watts JL, Han M","Suppression of the ELO-2 FA elongation activity results in alterations of the fatty acid composition and multiple physiological defects, including abnormal ultradian rhythms, in Caenorhabditis elegans.",Genetics,Genetics. 2003 Jan;163(1):1. 
30,Journal Article,2003,12593804,,Gorski SM; Chittaranjan S; Pleasance ED; Freeman JD; Anderson CL; Varhol RJ; Coughlin SM; Zuyderduyn SD; Jones SJ; Marra MA;,A SAGE approach to discovery of genes involved in autophagic cell death.,Current Biology,Curr Biol. 2003 Feb 18;13(4):358-63.
31,Journal Article,2003,12651963,,"Lee N, D'Souza CA, Kronstad JW.","Of smuts, blasts, mildews, and blights: cAMP signaling in phytopathogenic fungi.",Annual Review of Phytopathology,Annu Rev Phytopathol. 2003;41:399-427.
32,Journal Article,2003,12690095,,Helbing CC; Werry K; Crump D; Domanski D; Veldhoen N; Bailey CM;,Expression profiles of novel thyroid hormone-responsive genes and proteins in the tail of Xenopus laevis tadpoles undergoing precocious metamorphosis.,Molecular Endocrinology,Mol Endocrinol. 2003 Jul;17(7):1395-409. Epub 2003 Apr 10.
33,Journal Article,,12697311,,"Stafford JL, Belosevic M",Transferrin and the innate immune response of fish: identification of a novel mechanism of macrophage activation.,Developmental and Comparative Immunology,Dev Comp Immunol. 2003 Jun-Jul;27(6-7):6-7. 
34,Journal Article,2003,12703306,,Thompson J; Pugh T; Guggenheimer K; Safarpour A; Christie A; Pel J; Chow S; Marziali A;,Facilitated loading of horizontal gels using a capillary comb loader.,Biotechniques,Biotechniques. 2003 Apr;34(4):814-8.
35,Journal Article,2003,12725128,,Nelson CC; Hoffart D; Gleave ME; Rennie PS;,Application of gene microarrays in the study of prostate cancer.,Methods in Molecular Medicine,Methods Mol Med. 2003;81:299-320.
36,Journal Article,2003,12727910,,Fuhrmann DR; Krzywinski MI; Chiu R; Saeedi P; Schein JE; Bosdet IE; Chinwalla A; Hillier LW; Waterston RH; McPherson JD; Jones SJ; Marra MA;,Software for automated analysis of DNA fingerprinting gels.,Genome Research,Genome Res. 2003 May;13(5):940-53.
37,Journal Article,2003,12728272,,Rosenberger CM; Finlay BB;,Phagocyte sabotage: disruption of macrophage signalling by bacterial pathogens.,Nature Reviews Molecular Cell Biology,Nat Rev Mol Cell Biol. 2003 May;4(5):385-96.
38,Journal Article,2003,12730501,,Marra MA; Jones SJ; Astell CR; Holt RA; Brooks-Wilson A; Butterfield YS; Khattra J; Asano JK; Barber SA; Chan SY; Cloutier A; Coughlin SM; Freeman D; Girn N; Griffith OL; Leach SR; Mayo M; McDonald H; Montgomery SB; Pandoh PK; Petrescu AS; Robertson AG; Schein JE; Siddiqui A; Smailus DE; Stott JM; Yang GS; Plummer F; Andonov A; Artsob H; Bastien N; Bernard K; Booth TF; Bowness D; Czub M; Drebot M; Fernando L; Flick R; Garbutt M; Gray M; Grolla A; Jones S; Feldmann H; Meyers A; Kabani A; Li Y; Normand S; Stroher U; Tipples GA; Tyler S; Vogrig R; Ward D; Watson B; Brunham RC; Krajden M; Petric M; Skowronski DM; Upton C; Roper RL;,The Genome sequence of the SARS-associated coronavirus.,Science,Science. 2003 May 30;300(5624):1399-404. Epub 2003 May 1.
39,Journal Article,2003,12743019,,Pleasance ED; Marra MA; Jones SJ;,Assessment of SAGE in transcript identification.,Genome Research,Genome Res. 2003 Jun;13(6A):1203-15. Epub 2003 May 12.
40,Journal Article,2003,12799276,,Eaves C; Jiang X; Eisterer W; Chalandon Y; Porada G; Zanjani E; Eaves A;,New models to investigate mechanisms of disease genesis from primitive BCR-ABL(+) hematopoietic cells.,Annals of The New York Academy of Sciences,Ann N Y Acad Sci. 2003 May;996:1-9.
41,Journal Article,2003,12799356,,Fjell CD; Bosdet I; Schein JE; Jones SJ; Marra MA;,Internet Contig Explorer (iCE)--a tool for visualizing clone fingerprint maps.,Genome Research,Genome Res. 2003 Jun;13(6A):1244-9.
42,Journal Article,2003,12799356,,Fjell CD; Bosdet I; Schein JE; Jones SJ; Marra MA,Internet Contig Explorer (iCE)--a tool for visualizing clone fingerprint maps.,,Genome Res. 2003 Jun;13(6A):1244-9.
43,Journal Article,2003,14520415,,"Ansley SJ, Badano JL, Blacque OE, Hill J, Hoskins BE, Leitch CC, Kim JC, Ross AJ, Eichers ER, Teslovich TM, Mah AK, Johnsen RC, Cavender JC, Lewis RA, Leroux MR, Beales PL, Katsanis N.",Basal body dysfunction is a likely cause of pleiotropic Bardet-Biedl syndrome.,Nature,Nature. 2003 Oct 9;425(6958):628-33.
44,Journal Article,2003,14527345,,Kiger AA; Baum B; Jones S; Jones MR; Coulson A; Echeverri C; Perrimon N;,A functional genomic analysis of cell morphology using RNA interference.,Journal of Biology,J Biol. 2003;2(4):27. Epub 2003 Oct 1.
45,Journal Article,2003,14583100,,Zuyderduyn SD; Jones SJ;,A knowledge discovery object model API for Java.,BMC Bioinformatics,BMC Bioinformatics. 2003 Oct 28;4:51.
46,Journal Article,2004,14603447,,Garnis C; Coe BP; Ishkanian A; Zhang L; Rosin MP; Lam WL;,Novel regions of amplification on 8q distinct from the MYC locus and frequently altered in oral dysplasia and cancer.,Genes Chromosomes & Cancer,Genes Chromosomes Cancer. 2004 Jan;39(1):93-8.
47,Journal Article,2003,14622423,,Briant DJ; Hankins JS; Cook MA; Mackie GA;,The quaternary structure of RNase G from Escherichia coli.,Molecular Microbiology,Mol Microbiol. 2003 Nov;50(4):1381-90.
48,Journal Article,2003,14662343,,Uchida N; Dykstra B; Lyons KJ; Leung FY; Eaves CJ;,Different in vivo repopulating activities of purified hematopoietic stem cells before and after being stimulated to divide in vitro with the same kinetics.,Experimental Hematology,Exp Hematol. 2003 Dec;31(12):1338-47.
49,Journal Article,2003,14665467,,Steen BR; Zuyderduyn S; Toffaletti DL; Marra M; Jones SJ; Perfect JR; Kronstad J;,Cryptococcus neoformans gene expression during experimental cryptococcal meningitis.,Eukaryotic Cell,Eukaryot Cell. 2003 Dec;2(6):1336-49.
50,Journal Article,2004,14676824,,Garnis C; Coe BP; Zhang L; Rosin MP; Lam WL;,"Overexpression of LRP12, a gene contained within an 8q22 amplicon identified by high-resolution array CGH analysis of oral squamous cell carcinomas.",Oncogene,Oncogene. 2004 Apr 1;23(14):2582-6.
51,Journal Article,2003,14695166,,Garnis C; Baldwin C; Zhang L; Rosin MP; Lam WL;,Use of complete coverage array comparative genomic hybridization to define copy number alterations on chromosome 3p in oral squamous cell carcinomas.,Cancer Research,Cancer Res. 2003 Dec 15;63(24):8582-5.
52,Journal Article,2004,14723794,,Watson SK; deLeeuw RJ; Ishkanian AS; Malloff CA; Lam WL;,Methods for high throughput validation of amplified fragment pools of BAC DNA for constructing high resolution CGH arrays.,BMC Genomics,BMC Genomics. 2004 Jan 14;5(1):6.
53,Journal Article,2004,14751929,,Jiang X; Zhao Y; Chan WY; Vercauteren S; Pang E; Kennedy S; Nicolini F; Eaves A; Eaves C;,"Deregulated expression in Ph+ human leukemias of AHI-1, a gene activated by insertional mutagenesis in mouse models of leukemia.",Blood,Blood. 2004 May 15;103(10):3897-904. Epub 2004 Jan 29.
54,Journal Article,2004,14871860,,Flibotte S; Chiu R; Fjell C; Krzywinski M; Schein JE; Shin H; Marra MA;,Automated ordering of fingerprinted clones.,Bioinformatics,Bioinformatics. 2004 May 22;20(8):1264-71. Epub 2004 Feb 10.
55,Journal Article,2004,14962987,,Rise ML; von Schalburg KR; Brown GD; Mawer MA; Devlin RH; Kuipers N; Busby M; Beetz-Sargent M; Alberto R; Gibbs AR; Hunt P; Shukin R; Zeznik JA; Nelson C; Jones SR; Smailus DE; Jones SJ; Schein JE; Marra MA; Butterfield YS; Stott JM; Ng SH; Davidson WS; Koop BF;,Development and application of a salmonid EST database and cDNA microarray: data mining and interspecific hybridization characteristics.,Genome Research,Genome Res. 2004 Mar;14(3):478-90. Epub 2004 Feb 12.
56,Journal Article,2004,14966272,,Pineault N; Abramovich C; Ohta H; Humphries RK;,Differential and common leukemogenic potentials of multiple NUP98-Hox fusion proteins alone or with Meis1.,Molecular and Cellular Biology,Mol Cell Biol. 2004 Mar;24(5):1907-17.
57,Journal Article,2003,14970675,,Moore SS; Hansen C; Williams JL; Fu A; Meng Y; Li C; Zhang Y; Urquhart BS; Marra M; Schein J; Benkel B; de Jong PJ; Osoegawa K; Kirkpatrick BW; Gill CA;,"A comparative map of bovine chromosome 19 based on a combination of mapping on a bacterial artificial chromosome scaffold map, a whole genome radiation hybrid panel and the human draft sequence.",Cytogenetic and Genome Research,Cytogenet Genome Res. 2003;102(1-4):32-8.
58,Journal Article,2003,14970727,,Rexroad CE 3rd; Lee Y; Keele JW; Karamycheva S; Brown G; Koop B; Gahr SA; Palti Y; Quackenbush J;,Sequence analysis of a rainbow trout cDNA library and creation of a gene index.,Cytogenetic and Genome Research,Cytogenet Genome Res. 2003;102(1-4):347-54.
59,Journal Article,2004,14978791,,Baross A; Schertzer M; Zuyderduyn SD; Jones SJ; Marra MA; Lansdorp PM;,Effect of TERT and ATM on gene expression profiles in human fibroblasts.,Genes Chromosomes & Cancer,Genes Chromosomes Cancer. 2004 Apr;39(4):298-310.
60,Journal Article,2004,14981516,,Ishkanian AS; Malloff CA; Watson SK; DeLeeuw RJ; Chi B; Coe BP; Snijders A; Albertson DG; Pinkel D; Marra MA; Ling V; MacAulay C; Lam WL;,A tiling resolution DNA microarray with complete coverage of the human genome.,Nature Genetics,Nat Genet. 2004 Mar;36(3):299-303. Epub 2004 Feb 15.
61,Journal Article,2004,14981781,,Danke J; Miyake T; Powers T; Schein J; Shin H; Bosdet I; Erdmann M; Caldwell R; Amemiya CT;,"Genome resource for the Indonesian coelacanth, Latimeria menadoensis.",Journal of Experimental Zoology Part A-Comparative Experimental Biology,J Exp Zool A Comp Exp Biol. 2004 Mar 1;301(3):228-34.
62,Journal Article,2004,14985343,,Carrillo CD; Taboada E; Nash JH; Lanthier P; Kelly J; Lau PC; Verhulp R; Mykytczuk O; Sy J; Findlay WA; Amoako K; Gomis S; Willson P; Austin JW; Potter A; Babiuk L; Allan B; Szymanski CM;,Genome-wide expression analyses of Campylobacter jejuni NCTC11168 reveals coordinate regulation of motility and virulence by flhA.,Journal of Biological Chemistry,J Biol Chem. 2004 May 7;279(19):20327-38. Epub 2004 Feb 25.
63,Journal Article,2004,14988394,,"Hardwidge PR, Rodriguez-Escudero I, Goode D, Donohoe S, Eng J, Goodlett DR, Aebersold R, Finlay BB.",Proteomic analysis of the intestinal epithelial cell response to enteropathogenic Escherichia coli.,Journal of Biological Chemistry,J Biol Chem. 2004 May 7;279(19):20127-36.
64,Journal Article,2004,15004180,,Bowdish DM; Davidson DJ; Speert DP; Hancock RE;,The human cationic peptide LL-37 induces activation of the extracellular signal-regulated kinase and p38 kinase pathways in primary human monocytes.,Journal of Immunology,J Immunol. 2004 Mar 15;172(6):3758-65.
65,Journal Article,2004,15006624,,Garnis C; Campbell J; Zhang L; Rosin MP; Lam WL;,OCGR array: an oral cancer genomic regional array for comparative genomic hybridization analysis.,Oral Oncology,Oral Oncol. 2004 May;40(5):511-9.
66,Journal Article,2004,15014528,,Chalandon Y; Jiang X; Loutet S; Eaves AC; Eaves CJ;,Growth autonomy and lineage switching in BCR-ABL-transduced human cord blood cells depend on different functional domains of BCR-ABL.,Leukemia,Leukemia. 2004 May;18(5):1006-12.
67,Journal Article,2004,15016544,,"Lang AS, Culley AI, Suttle CA",Genome sequence and characterization of a virus (HaRNAV) related to picorna-like viruses that infects the marine toxic bloom-forming alga Heterosigma akashiwo.,Virology,Virology. 2004 Mar 15;320(2):2.  10.1016/j.virol.2003.10.015
68,Journal Article,2004,15020821,,Schein J; Kucaba T; Sekhon M; Smailus D; Waterston R; Marra M;,High-throughput BAC fingerprinting.,Methods in Molecular Biology,Methods Mol Biol. 2004;255:143-56.
69,Journal Article,2004,15034870,,Henderson LJ; Okamoto I; Lestou VS; Ludkovski O; Robichaud M; Chhanabhai M; Gascoyne RD; Klasa RJ; Connors JM; Marra MA; Horsman DE; Lam WL;,Delineation of a minimal region of deletion at 6q16.3 in follicular lymphoma and construction of a bacterial artificial chromosome contig spanning a 6-megabase region of 6q16-q21.,Genes Chromosomes & Cancer,Genes Chromosomes Cancer. 2004 May;40(1):60-5.
70,Journal Article,2004,15035667,,Garnis C; Buys TP; Lam WL;,Genetic alteration and gene expression modulation during cancer progression.,Molecular Cancer,Mol Cancer. 2004 Mar 22;3:9.
71,Journal Article,2004,15040819,,Chi B; DeLeeuw RJ; Coe BP; MacAulay C; Lam WL;,SeeGH--a software tool for visualization of whole genome array comparative genomic hybridization data.,BMC Bioinformatics,BMC Bioinformatics. 2004 Feb 9;5:13.
72,Journal Article,2004,15048993,,Meehan KL; Sadar MD;,Quantitative profiling of LNCaP prostate cancer cells using isotope-coded affinity tags and mass spectrometry.,Proteomics,Proteomics. 2004 Apr;4(4):1116-34.
